DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,DeepDSI
Q5D1E8,O43474,1,3.71,1.0,0.9520060420036316
Q5D1E8,Q12933,1,17.48,1.0,0.9845971465110779
Q5D1E8,Q13546,1,13.356,1.0,0.9297766089439392
Q5D1E8,Q9Y4K3,1,16.74,1.0,0.969478189945221
P45974,O75444,1,126.44352,10.24,0.992087185382843
P45974,O95180,1,3.4272,2.52,0.6022897362709045
P45974,P04637,1,2572.49664,193.4208,0.9932968020439148
P45974,Q08050,1,10.3785,10.3785,0.9443235993385315
Q9UPT9,O60341,1,13.764,2.48,0.8885862827301025
Q9UPT9,P01106,1,68.348805,12.3151,0.8604323267936707
Q9UPT9,P09467,1,3.09,1.5,0.005139318760484457
Q9UPT9,P0C0S8,1,30.734077,14.7053,0.9763154983520508
Q9UPT9,P14780,1,38.476185,17.8959,0.9597413539886475
Q9UPT9,P35354,1,2.37,1.0,0.8586822152137756
Q9UPT9,P48431,1,9.513,3.15,0.8642113208770752
Q9UPT9,P54274,1,3.9775,1.85,0.017977317795157433
Q9UPT9,P62807,1,209.13624,45.464400000000005,0.9911661744117737
Q9UPT9,Q13469,1,13.764,2.48,0.7527090907096863
Q9UPT9,Q14469,1,7.678242,3.6738,0.9447360634803772
Q9UPT9,Q96EB6,1,31.888584,7.912800000000001,0.769733190536499
Q96K76,O95863,1,1.71,1.0,0.48190999031066895
Q96K76,P12830,1,7.1424,2.48,0.8046025037765503
Q96K76,P35222,1,104.017245,22.2735,0.906292200088501
Q96K76,Q9UGP5,1,5.3865,3.15,0.41000476479530334
Q92905,Q9NZQ7,1,3.9597,1.97,0.21356387436389923
Q0WX57,O95760,1,3.5938,2.38,0.016413291916251183
Q0WX57,P51449,1,35.19213,22.2735,0.8795640468597412
Q0WX57,Q92769,1,3.9184,2.48,0.7964361310005188
Q0WX57,Q9H7L9,1,3.034,1.85,0.9765911102294922
Q0WX57,Q9Y256,1,3.315,1.5,0.9999866485595703
Q9P2H5,P21796,1,1.0,1.0,0.9772543907165527
Q9P2H5,Q8NFZ5,1,23.16816,8.5808,0.0019006839720532298
Q9Y5T5,P0C0S8,1,49.536648,32.5899,0.9400439262390137
Q9Y5T5,P53350,1,9.198,2.52,0.729027271270752
Q9Y5T5,Q9H9S0,1,28.42182,13.797,0.9410286545753479
O94966,O60337,1,6.069,2.38,0.9318310022354126
O94966,O75581,1,5.6406,2.38,0.025125719606876373
O94966,Q13114,1,17.6733,6.57,0.9327643513679504
O94966,Q13547,1,90.19197,38.709,0.8099867105484009
O94966,Q14457,1,2.1411,1.17,0.9946658611297607
O94966,Q5XPI4,1,23.484412,11.4002,0.9606509804725647
O94966,Q86TM6,1,17.0415,3.15,0.6529023051261902
O94966,Q92769,1,4.9848,2.48,0.6992785930633545
O94966,Q92828,1,11.4002,11.4002,0.3840663433074951
Q70CQ1,P62807,1,49.85064,7.912800000000001,0.9962185025215149
Q70CQ1,Q13451,1,1.5,1.5,0.47139987349510193
Q9Y4E8,O15111,1,9.0228,4.38,0.9382987022399902
Q9Y4E8,O43541,1,4.6,1.0,0.9863644242286682
Q9Y4E8,P21796,1,2.21,1.0,0.9941839575767517
Q9Y4E8,P25054,1,14.9026,5.54,0.10980737954378128
Q9Y4E8,P35222,1,66.852864,14.2848,0.9419775009155273
Q9Y4E8,P36894,1,23.3376,4.29,0.8917471170425415
Q9Y4E8,P36897,1,21.8214,4.49,0.9622339010238647
Q9Y4E8,P42574,1,6.069,2.38,0.769801139831543
Q9Y4E8,P51449,1,15.6372,3.14,0.983514666557312
Q9Y4E8,P62807,1,17.723,4.79,0.9923061728477478
